src_file,session_id,persona_id,persona_code,cluster_kmeans,cluster_kmeans_hungarian
session_001_1.json,session_1,persona_001,0,0,1
session_001_2.json,session_2,persona_001,0,1,0
session_001_3.json,session_3,persona_001,0,1,0
session_001_4.json,session_4,persona_001,0,1,0
session_001_5.json,session_5,persona_001,0,1,0
session_001_6.json,session_6,persona_001,0,2,2
session_001_7.json,session_7,persona_001,0,1,0
session_007_1.json,session_1,persona_007,1,0,1
session_007_2.json,session_2,persona_007,1,0,1
session_007_3.json,session_3,persona_007,1,0,1
session_007_4.json,session_4,persona_007,1,0,1
session_007_5.json,session_5,persona_007,1,1,0
session_007_6.json,session_6,persona_007,1,0,1
session_007_7.json,session_7,persona_007,1,0,1
session_040_4.json,session_4,persona_040,2,1,0
session_040_5.json,session_5,persona_040,2,0,1
session_040_6.json,session_6,persona_040,2,1,0
session_040_7.json,session_7,persona_040,2,1,0
